Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","3.3V","BatteryHolder_Keystone_1060_1x2032",173.150000,-59.550000,180.000000,bottom
"C1","100uF","CP_Radial_D5.0mm_P2.50mm",195.750000,-44.500000,-90.000000,bottom
